TS_Machine,ibi
1555570881.13984,0.7812862
1555570881.88987,0.7500348
1555570882.68678,0.796912
1555570883.49932,0.8125377
1555570884.2181,0.7187831
1555570884.99939,0.7812862
1555570885.78068,0.7812862
1555570891.99971,0.8281634
1555570892.79663,0.796912
1555570893.57791,0.781286
1555570894.37482,0.796912
1555570895.20299,0.8281634
1555570895.98427,0.7812862
1555570896.70306,0.7187831
1555570897.49997,0.796912
1555570898.26563,0.7656605
1555570898.98441,0.7187833
1555570907.78169,0.8437889
1555570908.64111,0.8594148
1555570909.37552,0.7344091
1555570910.20368,0.8281634
1555570917.82904,0.7812862
1555570918.56344,0.7344091
1555570919.39161,0.8281634
1555570920.18852,0.7969117
1555570920.98543,0.796912
1555570921.76672,0.7812862
1555570922.59488,0.8281634
1555570923.42304,0.8281634
1555570924.26683,0.843789
1555570925.03249,0.7656602
1555570925.87628,0.843789
1555570926.72007,0.843789
1555570927.57949,0.8594148
1555570928.3764,0.796912
1555570929.15768,0.7812862
1555570929.98585,0.8281634
1555570930.76713,0.781286
1555570931.50154,0.7344091
1555570932.29846,0.796912
1555570933.11099,0.8125377
1555570933.86103,0.7500346
1555570934.61106,0.7500348
1555570935.40797,0.796912
1555570936.25176,0.843789
1555570949.12736,0.7344091
1555570949.86177,0.7344089
1555570950.64305,0.7812862
1555570951.45559,0.8125377
1555570952.2525,0.796912
1555570953.06504,0.8125377
1555570953.87758,0.8125377
1555570954.72137,0.8437889
1555570955.50265,0.7812862
1555570956.28394,0.7812862
1555570957.14336,0.8594148
1555570957.94027,0.796912
1555570958.70593,0.7656602
1555570959.54972,0.843789
1555570960.48726,0.9375436
1555570961.45606,0.9687948
1555570962.4561,1.000046
1555570963.40927,0.9531691
1555570964.25306,0.843789
1555570965.03435,0.7812862
1555570965.86251,0.8281634
1555570966.7063,0.843789
1555570967.64384,0.9375434
1555570968.59701,0.9531691
1555570969.42517,0.8281634
1555570970.31584,0.8906662
1555570971.15963,0.843789
1555570971.97217,0.8125374
1555570972.78471,0.8125377
1555570973.64412,0.8594148
1555570974.55041,0.9062919
1555570975.47233,0.9219177
1555570976.33174,0.8594148
1555570977.23804,0.9062919
1555570978.14433,0.9062919
1555570979.01937,0.8750405
1555570979.91004,0.8906662
1555570980.83195,0.9219177
1555570981.67574,0.843789
1555570982.55078,0.8750405
1555570983.34769,0.796912
1555570984.12898,0.7812862
1555570984.92589,0.796912
1555570985.67593,0.7500346
1555570986.45721,0.7812862
1555570987.2385,0.7812862
1555570988.01979,0.7812862
1555570988.83232,0.8125377
1555570989.58236,0.7500346
1555570990.37927,0.796912
1555570991.17618,0.796912
1555570992.05122,0.8750405
1555570992.94189,0.8906662
1555570993.87943,0.9375434
1555570994.73885,0.8594148
1555570995.62951,0.8906662
1555570996.45768,0.8281634
1555570997.34834,0.8906662
1555570998.16088,0.8125377
1555570998.89529,0.7344089
1555570999.67658,0.7812862
1555571000.44224,0.7656605
1555571001.25477,0.8125377
1555571002.19232,0.9375434
1555571003.08298,0.8906662
1555571004.02053,0.9375434
1555571004.95807,0.9375434
1555571005.83311,0.8750405
1555571006.72378,0.8906662
1555571007.64569,0.9219177
1555571008.52074,0.8750405
1555571009.39578,0.8750405
1555571010.27082,0.8750405
1555571011.19273,0.9219177
1555571012.0834,0.8906662
1555571012.97407,0.8906662
1555571013.86473,0.8906662
1555571014.73977,0.8750405
1555571015.61481,0.8750405
1555571016.48985,0.8750405
1555571017.36489,0.8750405
1555571018.28681,0.9219177
1555571019.11498,0.8281634
1555571019.99002,0.8750405
1555571020.84943,0.8594148
1555571021.75572,0.9062919
1555571022.58389,0.8281634
1555571023.4433,0.8594148
1555571024.31834,0.8750405
1555571025.19338,0.8750405
1555571026.00592,0.8125377
1555571026.86533,0.8594146
1555571027.70912,0.843789
1555571028.58416,0.8750405
1555571029.41233,0.8281634
1555571030.27174,0.8594148
1555571031.16241,0.8906662
1555571032.03745,0.8750405
1555571032.86561,0.8281634
1555571033.69378,0.8281634
1555571034.55319,0.8594148
1555571035.36573,0.8125377
1555571036.16264,0.7969117
1555571036.97518,0.8125377
1555571037.85022,0.8750405
1555571038.70963,0.8594148
1555571039.56905,0.8594148
1555571040.44409,0.8750405
1555571041.33475,0.8906662
1555571042.14729,0.8125377
1555571043.00671,0.8594148
1555571043.86612,0.8594148
1555571044.74116,0.8750405
1555571045.5537,0.8125377
1555571046.42874,0.8750405
1555571047.30378,0.8750405
1555571048.19445,0.8906662
1555571049.00699,0.8125374
1555571049.81952,0.8125377
1555571050.66331,0.843789
1555571051.52273,0.8594148
1555571052.35089,0.8281634
1555571053.2103,0.8594148
1555571054.06972,0.8594148
1555571054.91351,0.843789
1555571055.72605,0.8125377
1555571056.55421,0.8281634
1555571057.398,0.8437889
1555571058.27304,0.8750405
1555571059.08558,0.8125377
1555571059.92937,0.843789
1555571060.77316,0.843789
1555571061.57007,0.796912
1555571062.36698,0.796912
1555571063.21077,0.843789
1555571064.07018,0.8594146
1555571064.88272,0.8125377
1555571065.71088,0.8281634
1555571066.53905,0.8281634
1555571067.30471,0.7656605
1555571068.13287,0.8281634
1555571068.97666,0.843789
1555571069.82045,0.8437889
1555571070.63299,0.8125377
1555571071.4924,0.8594148
1555571072.36744,0.8750405
1555571073.14873,0.7812862
1555571073.99252,0.843789
1555571074.83631,0.843789
1555571075.6801,0.843789
1555571076.46138,0.781286
1555571077.28955,0.8281634
1555571078.13333,0.843789
1555571078.93025,0.796912
1555571079.77404,0.843789
1555571080.80533,1.031298
1555571089.66512,0.8750405
1555571090.50891,0.843789
1555571091.38395,0.8750405
1555571092.29024,0.9062919
1555571093.19653,0.9062919
1555571094.05595,0.8594148
1555571094.93099,0.8750405
1555571095.8529,0.9219177
1555571096.68107,0.8281634
1555571097.50923,0.8281634
1555571098.36865,0.8594148
1555571099.24369,0.8750405
1555571100.07185,0.8281634
1555571100.93127,0.8594148
1555571101.82193,0.8906662
1555571102.65009,0.8281634
1555571103.50951,0.8594148
1555571104.36892,0.8594148
1555571105.25959,0.8906662
1555571106.08775,0.8281631
1555571106.93154,0.843789
1555571107.82221,0.8906662
1555571108.65037,0.8281634
1555571109.47854,0.8281634
1555571110.29107,0.8125377
1555571111.10361,0.8125377
1555571111.8849,0.781286
1555571112.69743,0.8125377
1555571113.54122,0.843789
1555571114.43189,0.8906662
1555571115.26005,0.8281634
1555571116.15072,0.8906662
1555571117.08826,0.9375434
1555571118.01018,0.9219177
1555571118.85397,0.843789
1555571119.74464,0.8906662
1555571120.65093,0.9062919
1555571121.51034,0.8594148
1555571122.35413,0.843789
1555571123.22917,0.8750405
1555571124.15109,0.9219177
1555571125.02613,0.8750405
1555571125.9168,0.8906662
1555571126.80746,0.8906662
1555571127.71376,0.9062919
1555571128.57317,0.8594148
