TS_Machine,ax,ay,az
1555573074.94585,-21,-37,45
1555573074.97711,-21,-37,45
1555573075.00836,-21,-37,45
1555573075.03961,-21,-37,45
1555573075.07086,-21,-37,45
1555573075.10211,-21,-37,45
1555573075.13336,-21,-37,45
1555573075.16461,-21,-37,45
1555573075.19587,-21,-37,45
1555573075.22712,-21,-37,45
1555573075.25837,-21,-37,45
1555573075.28962,-21,-37,45
1555573075.32087,-21,-37,45
1555573075.38337,-21,-37,45
1555573075.35212,-21,-37,45
1555573075.41463,-21,-37,45
1555573075.44588,-21,-37,45
1555573075.47713,-21,-37,45
1555573075.50838,-21,-37,45
1555573075.53963,-21,-37,45
1555573075.57088,-21,-37,45
1555573075.60213,-21,-37,45
1555573075.63339,-21,-37,45
1555573075.66464,-21,-37,45
1555573075.69589,-21,-37,45
1555573075.72714,-21,-37,45
1555573075.75839,-21,-37,45
1555573075.78964,-21,-37,45
1555573075.82089,-21,-37,45
1555573075.85215,-21,-37,45
1555573075.8834,-21,-37,45
1555573075.91465,-21,-37,45
1555573075.9459,-21,-37,45
1555573075.97715,-21,-37,45
1555573076.0084,-21,-37,45
1555573076.03965,-21,-37,45
1555573076.07091,-21,-37,45
1555573076.10216,-21,-37,45
1555573076.13341,-21,-37,45
1555573076.16466,-21,-37,45
1555573076.19591,-21,-37,45
1555573076.22716,-21,-37,45
1555573076.25841,-21,-37,45
1555573076.28967,-21,-37,45
1555573076.32092,-21,-37,45
1555573076.35217,-21,-37,45
1555573076.38342,-21,-37,45
1555573076.41467,-21,-37,45
1555573076.44592,-21,-37,45
1555573076.47718,-21,-37,45
1555573076.50843,-21,-37,45
1555573076.53968,-21,-37,45
1555573076.57093,-21,-37,45
1555573076.60218,-21,-37,45
1555573076.63343,-21,-37,45
1555573076.66468,-21,-37,45
1555573076.69594,-21,-37,45
1555573076.72719,-21,-37,45
1555573076.75844,-21,-37,45
1555573076.78969,-21,-37,45
1555573076.82094,-21,-37,45
1555573076.85219,-21,-37,45
1555573076.88344,-21,-37,45
1555573076.9147,-21,-37,45
1555573076.94595,-21,-37,45
1555573076.9772,-21,-37,45
1555573077.00845,-21,-37,45
1555573077.0397,-21,-37,45
1555573077.07095,-21,-37,45
1555573077.1022,-21,-37,45
1555573077.13346,-21,-37,45
1555573077.16471,-21,-37,45
1555573077.19596,-21,-37,45
1555573077.22721,-21,-37,45
1555573077.25846,-21,-37,45
1555573077.28971,-21,-37,45
1555573077.32096,-21,-37,45
1555573077.35222,-21,-37,45
1555573077.38347,-21,-37,45
1555573077.41472,-21,-37,45
1555573077.44597,-21,-37,45
1555573077.47722,-21,-37,45
1555573077.50847,-21,-37,45
1555573077.53972,-21,-37,45
1555573077.57098,-21,-37,45
1555573077.60223,-21,-37,45
1555573077.63348,-21,-37,45
1555573077.66473,-21,-37,45
1555573077.69598,-21,-37,45
1555573077.72723,-21,-37,45
1555573077.75848,-21,-37,45
1555573077.78974,-21,-37,45
1555573077.82099,-21,-37,45
1555573077.85224,-21,-37,45
1555573077.88349,-21,-37,45
1555573077.91474,-21,-37,45
1555573077.94599,-21,-37,45
1555573077.97724,-21,-37,45
1555573078.0085,-21,-37,45
1555573078.03975,-21,-37,45
1555573078.071,-21,-37,45
1555573078.10225,-21,-37,45
1555573078.1335,-21,-37,45
1555573078.16475,-21,-37,45
1555573078.196,-21,-37,45
1555573078.22726,-21,-37,45
1555573078.25851,-21,-37,45
1555573078.28976,-21,-37,45
1555573078.32101,-21,-37,45
1555573078.35226,-21,-37,45
1555573078.38351,-21,-37,45
1555573078.41476,-21,-37,45
1555573078.44602,-21,-37,45
1555573078.47727,-21,-37,45
1555573078.50852,-21,-37,45
1555573078.53977,-21,-37,45
1555573078.57102,-21,-37,45
1555573078.60227,-21,-37,45
1555573078.63352,-21,-37,45
1555573078.66478,-21,-37,45
1555573078.69603,-21,-37,45
1555573078.72728,-21,-37,45
1555573078.75853,-21,-37,45
1555573078.78978,-21,-37,44
1555573078.82103,-21,-37,44
1555573078.85228,-21,-37,45
1555573078.88354,-21,-37,45
1555573078.91479,-21,-37,44
1555573078.94604,-21,-37,45
1555573078.97729,-21,-37,45
1555573079.00854,-21,-37,45
1555573079.03979,-21,-37,45
1555573079.07105,-21,-37,44
1555573079.1023,-21,-37,45
1555573079.13355,-21,-37,45
1555573079.1648,-21,-37,45
1555573079.2273,-21,-37,45
1555573079.19605,-21,-37,44
1555573079.25855,-21,-37,45
1555573079.28981,-21,-37,44
1555573079.32106,-22,-37,45
1555573079.35231,-21,-37,45
1555573079.38356,-21,-37,45
1555573079.41481,-21,-37,44
1555573079.44606,-21,-38,44
1555573079.47731,-22,-37,45
1555573079.53982,-22,-37,44
1555573079.50857,-22,-37,45
1555573079.57107,-21,-38,44
1555573079.60232,-21,-37,44
1555573079.63357,-22,-38,44
1555573079.66482,-22,-37,45
1555573079.69607,-22,-37,44
1555573079.72733,-22,-37,44
1555573079.75858,-21,-37,45
1555573079.78983,-22,-38,44
1555573079.82108,-22,-37,45
1555573079.85233,-21,-38,44
1555573079.88358,-22,-37,44
1555573079.91483,-22,-38,44
1555573079.94609,-22,-38,44
1555573079.97734,-22,-38,44
1555573080.00859,-22,-38,44
1555573080.03984,-21,-38,44
1555573080.07109,-21,-37,44
1555573080.10234,-22,-38,45
1555573080.13359,-22,-38,44
1555573080.16485,-22,-38,44
1555573080.1961,-21,-37,44
1555573080.22735,-22,-38,44
1555573080.2586,-22,-37,44
1555573080.3211,-22,-37,44
1555573080.28985,-22,-37,44
1555573080.35235,-21,-37,45
1555573080.38361,-21,-38,44
1555573080.41486,-22,-37,45
1555573080.44611,-22,-37,45
1555573080.47736,-21,-38,44
1555573080.50861,-21,-37,45
1555573080.53986,-21,-37,45
1555573080.57111,-21,-38,45
1555573080.60237,-21,-37,44
1555573080.66487,-21,-38,45
1555573080.63362,-21,-38,45
1555573080.69612,-21,-37,44
1555573080.72737,-21,-37,44
1555573080.75862,-21,-37,45
1555573080.78987,-21,-37,45
1555573080.82113,-21,-37,45
1555573080.85238,-21,-37,45
1555573080.88363,-21,-37,45
1555573080.91488,-21,-37,45
1555573080.94613,-21,-37,45
1555573081.10239,-21,-37,45
1555573081.07114,-21,-37,45
1555573080.97738,-21,-37,45
1555573081.00863,-21,-37,45
1555573081.03989,-21,-37,45
1555573081.13364,-21,-37,44
1555573081.16489,-21,-37,45
1555573081.19614,-21,-37,45
1555573081.22739,-21,-37,45
1555573081.25865,-21,-37,45
1555573081.2899,-21,-37,45
1555573081.32115,-21,-37,45
1555573081.3524,-21,-37,45
1555573081.38365,-21,-37,45
1555573081.4149,-21,-37,45
1555573081.44616,-21,-37,45
1555573081.47741,-21,-37,45
1555573081.50866,-21,-37,45
1555573081.53991,-21,-37,45
1555573081.57116,-21,-37,45
1555573081.60241,-21,-37,45
1555573081.63366,-21,-37,45
1555573081.66492,-21,-37,45
1555573081.69617,-21,-37,45
1555573081.72742,-21,-37,45
1555573081.75867,-21,-37,45
1555573081.78992,-21,-37,45
1555573081.82117,-21,-37,45
1555573081.85242,-21,-37,45
1555573081.88368,-21,-37,45
1555573081.91493,-21,-37,45
1555573081.94618,-21,-37,45
1555573081.97743,-21,-37,45
1555573082.00868,-21,-37,45
1555573082.03993,-21,-37,45
1555573082.07118,-21,-37,45
1555573082.10244,-21,-37,45
1555573082.13369,-21,-37,45
1555573082.16494,-21,-37,45
1555573082.19619,-21,-37,45
1555573082.22744,-21,-37,45
1555573082.25869,-21,-37,45
1555573082.28994,-21,-37,45
1555573082.3212,-21,-37,45
1555573082.35245,-21,-37,45
1555573082.3837,-21,-37,45
1555573082.41495,-21,-37,45
1555573082.4462,-21,-37,45
1555573082.47745,-21,-37,45
1555573082.5087,-21,-37,45
1555573082.53996,-21,-37,45
1555573082.57121,-21,-37,45
1555573082.60246,-21,-37,45
1555573082.63371,-21,-37,45
1555573082.66496,-21,-37,45
1555573082.69621,-21,-37,45
1555573082.72746,-21,-37,45
1555573082.75872,-21,-37,45
1555573082.78997,-21,-37,45
1555573082.82122,-21,-37,45
1555573082.85247,-21,-37,45
1555573082.88372,-21,-37,45
1555573082.91497,-21,-37,45
1555573082.94622,-21,-37,45
1555573082.97748,-21,-37,45
1555573083.03998,-21,-37,45
1555573083.07123,-21,-37,45
1555573083.10248,-21,-37,45
1555573083.00873,-21,-37,45
1555573083.13373,-21,-37,45
