TS_Machine,hr
1555579674.68589,79.99628
1555579675.43592,79.99632
1555579676.17033,81.69833
1555579676.87349,85.32937
1555579677.56102,87.2687
1555579678.23293,89.29817
1555579678.93608,85.3294
1555579679.63924,85.32937
1555579680.3424,85.3294
1555579681.02993,87.26867
1555579681.70184,89.2982
1555579682.37374,89.29817
1555579683.04565,89.29817
1555579683.73318,87.2687
1555579684.42071,87.26867
1555579685.12387,85.3294
1555579685.82703,85.32937
1555579686.51456,87.2687
1555579687.20209,87.26867
1555579687.88962,87.2687
1555579688.56153,89.29817
1555579689.23344,89.29817
1555579689.90534,89.2982
1555579690.56162,91.42432
1555579691.23353,89.2982
1555579691.92106,87.26867
1555579692.59297,89.2982
1555579693.2805,87.26867
1555579693.96803,87.2687
1555579694.63994,89.29817
1555579695.31184,89.2982
1555579695.96812,91.42432
1555579696.6244,91.42435
1555579697.29631,89.29817
1555579697.96821,89.2982
1555579698.6245,91.42432
1555579699.2964,89.2982
1555579699.95268,91.42432
1555579700.62459,89.2982
1555579701.29649,89.29817
1555579701.95277,91.42435
1555579702.62468,89.29817
1555579703.29659,89.2982
1555579703.99974,85.32937
1555579704.67165,89.2982
1555579705.37481,85.32937
1555579706.07797,85.32937
1555579706.7655,87.2687
1555579707.42178,91.42432
1555579708.10931,87.2687
1555579708.82809,83.47439
1555579709.5,89.2982
1555579728.07898,91.42435
1555579728.73526,91.42432
1555579729.4228,87.2687
1555579738.42321,78.36371
1555579739.22012,75.29065
1555579740.01704,75.29063
1555579740.81395,75.29063
1555579748.17367,83.47439
1555579748.89245,83.47441
1555579749.61123,83.47439
1555579750.36127,79.99628
1555579751.1113,79.99632
1555579751.83008,83.47439
1555579752.54887,83.47439
1555579753.2364,87.2687
1555579753.90831,89.29817
1555579754.59584,87.2687
1555579755.28337,87.26867
1555579755.95528,89.2982
1555579756.65843,85.32937
1555579757.37722,83.47441
1555579758.096,83.47439
1555579758.76791,89.29817
1555579769.8778,85.32937
1555579770.6122,81.69836
1555579771.31536,85.32937
1555579772.00289,87.2687
1555579772.70605,85.32937
1555579773.39358,87.26867
1555579774.11237,83.47441
1555579774.84678,81.69833
1555579775.59681,79.99628
1555579776.34684,79.99632
1555579777.06563,83.47439
1555579777.78441,83.47439
1555579778.50319,83.47441
1555579779.2376,81.69833
1555579780.00326,78.36371
1555579780.7533,79.99632
1555579781.50333,79.99628
1555579782.25337,79.99628
1555579783.0034,79.99632
1555579783.75344,79.99628
1555579784.5191,78.36371
1555579785.23788,83.47441
1555579785.95666,83.47439
1555579786.69107,81.69833
1555579787.44111,79.99632
1555579788.22239,76.79644
1555579788.98806,78.36371
1555579789.78497,75.29063
1555579790.535,79.99632
1555579791.28504,79.99628
1555579792.0507,78.36371
1555579792.78511,81.69836
1555579793.55077,78.36371
1555579794.31643,78.36371
1555579795.05084,81.69833
1555579795.75399,85.3294
1555579796.45715,85.32937
1555579797.17593,83.47441
1555579797.89472,83.47439
1555579798.64475,79.99628
1555579799.39479,79.99632
1555579800.1292,81.69833
1555579800.84798,83.47439
1555579809.41088,85.32937
1555579810.14529,81.69833
1555579810.89532,79.99632
1555579811.62973,81.69833
1555579812.34851,83.47439
1555579813.05167,85.3294
1555579813.78608,81.69833
1555579814.50486,83.47441
1555579815.22365,83.47439
1555579815.97368,79.99628
1555579816.69246,83.47441
1555579817.41125,83.47439
1555579818.13003,83.47439
1555579818.81756,87.2687
1555579819.48947,89.29817
1555579820.177,87.2687
1555579820.86453,87.26867
1555579821.53644,89.2982
1555579822.28647,79.99628
1555579823.11464,72.44947
1555579823.92717,73.84273
1555579824.70846,76.79644
1555579825.53662,72.44949
1555579826.31791,76.79644
1555579827.14607,72.44947
1555579827.94298,75.29063
1555579828.77115,72.44947
1555579829.55243,76.79646
1555579830.28684,81.69833
1555579831.02125,81.69833
1555579831.74004,83.47441
1555579832.45882,83.47439
1555579833.19323,81.69833
1555579833.95889,78.36374
1555579863.9134,83.47439
1555579864.60093,87.26867
1555579865.33534,81.69836
1555579879.94539,79.99632
1555579880.63292,87.26867
1555579881.32046,87.2687
1555579884.80499,87.2687
1555579885.50815,85.32937
1555579886.21131,85.3294
1555579886.88321,89.29817
1555579887.58637,85.32937
1555579888.2739,87.2687
1555579888.97706,85.32937
1555579889.66459,87.2687
1555579890.35212,87.26867
1555579897.74309,85.32937
1555579898.44625,85.3294
1555579899.10253,91.42432
1555579899.88382,76.79646
1555579900.64948,78.36371
1555579901.44639,75.29063
1555579902.16517,83.47441
1555579902.91521,79.99628
1555579903.61836,85.32937
1555579904.29027,89.2982
1555579904.96218,89.29817
1555579905.61846,91.42435
1555579906.29036,89.29817
1555579907.00915,83.47441
1555579907.72793,83.47439
1555579911.91562,83.47439
1555579912.61878,85.3294
1555579913.30631,87.26867
1555579914.0251,83.47441
1555579914.72825,85.32937
1555579915.43141,85.3294
1555579916.15019,83.47439
1555579916.86898,83.47439
1555579917.58776,83.47441
1555579918.3378,79.99628
1555579919.05658,83.47439
1555579919.77536,83.47441
1555579920.49415,83.47439
1555579921.1973,85.3294
1555579921.90046,85.32937
1555579922.61924,83.47439
1555579923.3224,85.3294
1555579924.04118,83.47439
1555579924.75997,83.47439
1555579932.57283,83.47441
1555579933.26036,87.26867
1555579933.96352,85.3294
1555579934.69793,81.69833
1555579935.41671,83.47439
1555579936.13549,83.47441
1555579936.83865,85.32937
1555579937.52618,87.2687
1555579938.21372,87.26867
1555579938.88562,89.2982
1555579939.60441,83.47439
1555579940.29194,87.26867
1555579941.0576,78.36374
1555579941.77638,83.47439
1555579942.52642,79.99628
1555579943.2452,83.47441
1555579943.94836,85.32937
1555579944.66714,83.47439
1555579945.35467,87.2687
1555579946.05783,85.32937
1555579946.74536,87.2687
1555579947.44852,85.32937
1555579948.18293,81.69836
1555579948.91734,81.69833
1555579949.63612,83.47439
1555579950.37053,81.69836
1555579951.08931,83.47439
1555579951.8081,83.47439
1555579952.5425,81.69836
1555579953.26129,83.47439
1555579953.9957,81.69833
1555579954.71448,83.47441
1555579955.46452,79.99628
1555579956.19892,81.69833
1555579956.93333,81.69836
1555579957.66774,81.69833
1555579958.38653,83.47441
1555579959.05843,89.29817
1555579959.74596,87.26867
1555579960.4335,87.2687
1555579961.13665,85.32937
1555579961.85544,83.47441
1555579962.58985,81.69833
1555579963.35551,78.36371
1555579964.08991,81.69836
1555579964.85558,78.36371
1555579965.58998,81.69833
1555579966.34002,79.99632
1555579967.07443,81.69833
1555579967.84009,78.36371
1555579968.5745,81.69833
1555579969.30891,81.69836
1555579970.01206,85.32937
1555579970.71522,85.3294
1555579971.41838,85.32937
1555579972.10591,87.2687
1555579972.80907,85.32937
1555579973.54348,81.69833
1555579974.23101,87.2687
1555579974.93417,85.32937
1555579975.63732,85.3294
1555579976.34048,85.32937
1555579977.05927,83.47439
1555579977.77805,83.47441
1555579978.48121,85.32937
1555579979.21562,81.69833
1555579979.95002,81.69836
1555579980.68443,81.69833
1555579984.21585,85.32937
1555579984.919,85.3294
1555579985.62216,85.32937
1555579986.35657,81.69833
1555579987.07535,83.47441
1555579987.77851,85.32937
1555579988.51292,81.69833
1555579989.27858,78.36374
1555579990.04424,78.36371
1555579990.85678,73.84273
1555579991.62244,78.36371
1555579992.41935,75.29065
1555579993.15376,81.69833
1555579993.95067,75.29063
1555579994.71633,78.36371
1555579995.49762,76.79646
1555579996.26328,78.36371
1555579997.01331,79.99628
1555579997.76335,79.99632
1555579998.49776,81.69833
1555579999.23217,81.69833
1555580005.57621,83.47439
1555580006.32625,79.99628
1555580007.09191,78.36371
1555580007.88882,75.29065
1555580008.6701,76.79644
1555580009.40451,81.69833
1555580010.13892,81.69836
1555580010.85771,83.47439
1555580011.56086,85.32937
1555580012.24839,87.2687
1555580012.90468,91.42432
1555580013.59221,87.2687
1555580014.26411,89.29817
1555580014.93602,89.2982
1555580015.63918,85.32937
1555580016.37359,81.69836
1555580017.108,81.69833
1555580017.87366,78.36371
1555580018.62369,79.99628
1555580019.37372,79.99632
1555580020.10813,81.69833
1555580020.84254,81.69833
1555580021.56133,83.47441
1555580022.28011,83.47439
1555580023.01452,81.69836
1555580023.76455,79.99628
1555580024.51459,79.99628
1555580025.249,81.69833
1555580034.90569,78.36374
1555580035.56197,91.42432
1555580036.26513,85.3294
1555580036.98392,83.47439
1555580037.67145,87.26867
1555580038.3746,85.3294
1555580039.06214,87.26867
1555580039.76529,85.3294
1555580040.48408,83.47439
1555580047.68754,85.3294
1555580048.40632,83.47439
1555580049.10948,85.3294
1555580049.82826,83.47439
1555580050.54704,83.47439
1555580051.28145,81.69836
1555580052.00024,83.47439
1555580052.71902,83.47439
1555580053.39093,89.2982
1555580054.06283,89.29817
1555580054.71911,91.42435
1555580055.35977,93.65418
1555580056.00042,93.65421
