TS_Machine,gsr
1555579673.805,5.300432
1555579674.055,5.263282
1555579674.305,5.236381
1555579674.555,5.218446
1555579674.805,5.200512
1555579675.055,5.178735
1555579675.305,5.187702
1555579675.555,5.156957
1555579675.805,5.133899
1555579676.055,5.117246
1555579676.305,5.127494
1555579676.555,5.118526
1555579676.805,5.106997
1555579677.055,5.113402
1555579677.305,5.092906
1555579677.555,5.09803
1555579677.805,5.150552
1555579678.055,5.194107
1555579678.305,5.233819
1555579678.555,5.242785
1555579678.805,5.245347
1555579679.055,5.237661
1555579679.305,5.228694
1555579679.555,5.200512
1555579679.805,5.178735
1555579680.055,5.167205
1555579680.305,5.142866
1555579680.555,5.115964
1555579680.805,5.092906
1555579681.055,5.076253
1555579681.305,5.059599
1555579681.555,5.041665
1555579681.805,5.030136
1555579682.055,5.010921
1555579682.305,4.99683
1555579682.555,4.986581
1555579682.805,5.003234
1555579683.055,5.03526
1555579683.305,5.063443
1555579683.555,5.074972
1555579683.805,5.078815
1555579684.055,5.073691
1555579684.305,5.054475
1555579684.555,5.032698
1555579684.805,5.004516
1555579685.055,4.990424
1555579685.305,4.97249
1555579685.555,4.949431
1555579685.805,4.930216
1555579686.055,4.913563
1555579686.305,4.895628
1555579686.555,4.882818
1555579686.805,4.870008
1555579687.055,4.854636
1555579687.305,4.84695
1555579687.555,4.837983
1555579687.805,4.827734
1555579688.055,4.827734
1555579688.305,4.82261
1555579688.555,4.813643
1555579688.805,4.802114
1555579689.055,4.789304
1555579689.305,4.770088
1555579689.555,4.763683
1555579689.805,4.749592
1555579690.055,4.739344
1555579690.305,4.723971
1555579690.555,4.70988
1555579690.805,4.698351
1555579691.055,4.688103
1555579691.305,4.676574
1555579691.555,4.67273
1555579691.805,4.663764
1555579692.055,4.64711
1555579692.305,4.643267
1555579692.555,4.624052
1555579692.805,4.611241
1555579693.055,4.599712
1555579693.305,4.585621
1555579693.555,4.575373
1555579693.805,4.565125
1555579694.055,4.548471
1555579694.305,4.53438
1555579694.555,4.522851
1555579694.805,4.515165
1555579695.055,4.501074
1555579695.305,4.497231
1555579695.555,4.480577
1555579695.805,4.470329
1555579696.055,4.4588
1555579696.305,4.454957
1555579696.555,4.44599
1555579696.805,4.449833
1555579697.055,4.448552
1555579697.305,4.451114
1555579697.555,4.44599
1555579697.805,4.435741
1555579698.055,4.431159
1555579698.305,4.41963
1555579698.555,4.400414
1555579698.805,4.383761
1555579699.055,4.373513
1555579699.305,4.361984
1555579699.555,4.351736
1555579699.805,4.342768
1555579700.055,4.33252
1555579700.305,4.320991
1555579700.555,4.312024
1555579700.805,4.299213
1555579701.055,4.290246
1555579701.305,4.283841
1555579701.555,4.265907
1555579701.805,4.260783
1555579702.055,4.255659
1555579702.305,4.242848
1555579702.555,4.2326
1555579702.805,4.222352
1555579703.055,4.213385
1555579703.305,4.204418
1555579703.555,4.195451
1555579703.805,4.190327
1555579704.055,4.183921
1555579704.305,4.16983
1555579704.555,4.162144
1555579704.805,4.155739
1555579705.055,4.150615
1555579705.305,4.141648
1555579705.555,4.133962
1555579705.805,4.117308
1555579706.055,4.112184
1555579706.305,4.105779
1555579706.555,4.099374
1555579706.805,4.090407
1555579707.055,4.075035
1555579707.305,4.068629
1555579707.555,4.060943
1555579707.805,4.051976
1555579708.055,4.041728
