TS_Machine,hr
1555573071.25189,71.10782
1555573072.1113,69.81495
1555573072.95509,71.10782
1555573073.78326,72.44947
1555573074.62704,71.10782
1555573075.50208,68.56825
1555573076.31462,73.84273
1555573077.08028,78.36374
1555573077.89282,73.84273
1555573078.72098,72.44947
1555573079.59602,68.56825
1555573080.47106,68.56825
1555573081.33048,69.81495
1555573082.18989,69.81495
1555573082.97118,76.79644
1555573083.70559,81.69836
1555573084.42437,83.47439
1555573085.14316,83.47439
1555573085.89319,79.99632
1555573086.72135,72.44947
1555573087.59639,68.56825
1555573088.50269,66.20383
1555573089.37773,68.56825
1555573090.26839,67.3653
1555573091.06531,75.29063
1555573091.84659,76.79644
1555573092.62788,76.79644
1555573093.45604,72.44949
1555573094.2842,72.44947
1555573095.12799,71.10782
1555573095.98741,69.81495
1555573096.81557,72.44947
1555573097.64374,72.44947
1555573098.50315,69.81495
1555573099.28444,76.79644
1555573100.0501,78.36374
1555573100.83138,76.79644
1555573101.64392,73.84273
1555573102.45646,73.84273
1555573103.28462,72.44947
1555573104.12841,71.10782
1555573104.9722,71.10782
1555573105.78474,73.84275
1555573106.5504,78.36371
1555573107.31606,78.36371
1555573108.1286,73.84273
1555573108.97238,71.10782
1555573109.8318,69.81496
1555573110.67559,71.10782
1555573111.535,69.81495
1555573112.39442,69.81495
1555573113.19133,75.29063
1555573113.94137,79.99628
1555573114.7539,73.84273
1555573115.56644,73.84275
1555573116.41023,71.10782
1555573135.09859,85.32937
1555573135.86426,78.36374
1555573136.64554,76.79644
1555573137.4737,72.44947
1555573138.30187,72.44947
1555573139.08315,76.79644
1555573139.86444,76.79646
1555573140.66135,75.29063
1555573141.50514,71.10782
1555573142.39581,67.3653
1555573143.28647,67.3653
1555573144.11464,72.44947
1555573144.91155,75.29063
1555573145.66158,79.99632
1555573146.44287,76.79644
1555573147.23978,75.29063
1555573148.0992,69.81495
1555573149.00549,66.20383
1555573149.92741,65.08173
1555573150.84932,65.08173
1555573151.75562,66.20383
1555573152.63066,68.56825
1555573153.44319,73.84273
1555573154.24011,75.29063
1555573158.39655,91.42435
1555573164.22494,83.47441
1555573164.9906,78.36371
1555573165.74064,79.99628
1555573166.49067,79.99632
1555573167.20946,83.47439
1555573167.91261,85.32937
1555573168.60015,87.2687
1555573169.3033,85.32937
1555573170.03771,81.69836
1555573170.80337,78.36371
1555573171.55341,79.99628
1555573172.30344,79.99628
1555573173.08473,76.79646
1555573173.91289,72.44947
1555573174.72543,73.84273
1555573175.50672,76.79644
1555573176.31925,73.84273
1555573177.16304,71.10782
1555573178.03808,68.56825
1555573178.91312,68.56825
1555573179.80379,67.3653
1555573180.64758,71.10783
1555573181.46012,73.84273
1555573182.2414,76.79644
1555573183.08519,71.10782
1555573183.97586,67.3653
1555573184.89778,65.08173
1555573185.78844,67.3653
1555573186.67911,67.3653
1555573187.55415,68.56825
1555573188.36669,73.84273
1555573189.14797,76.79644
1555573189.94488,75.29065
1555573190.78867,71.10782
1555573191.67934,67.3653
1555573192.52313,71.10782
1555573193.33567,73.84273
1555573194.27321,63.99704
1555573195.19513,65.08173
1555573196.08579,67.3653
1555573196.92958,71.10782
1555573197.82025,67.3653
1555573198.67966,69.81495
1555573199.47658,75.29063
1555573200.27349,75.29063
