TS_Machine,gsr
1555573074.837,1.338924
1555573075.087,1.337643
1555573075.337,1.340205
1555573075.587,1.340205
1555573075.837,1.340205
1555573076.087,1.337643
1555573076.337,1.336362
1555573076.587,1.337643
1555573076.837,1.335081
1555573077.087,1.336362
1555573077.337,1.3338
1555573077.587,1.331238
1555573077.837,1.332519
1555573078.087,1.335081
1555573078.337,1.3338
1555573078.587,1.329957
1555573078.837,1.329957
1555573079.087,1.331238
1555573079.337,1.331238
1555573079.587,1.327395
1555573079.837,1.329957
1555573080.087,1.328676
1555573080.337,1.326114
1555573080.587,1.328676
1555573080.837,1.326114
1555573081.087,1.324833
1555573081.337,1.324833
1555573081.587,1.326114
1555573081.837,1.324833
1555573082.087,1.31971
1555573082.337,1.323552
1555573082.587,1.322271
1555573082.837,1.318429
1555573083.087,1.318429
1555573083.337,1.31971
1555573083.587,1.318429
1555573083.837,1.31971
1555573084.087,1.31971
1555573084.337,1.317148
1555573084.587,1.31971
1555573084.837,1.314586
1555573085.087,1.315867
1555573085.337,1.313305
1555573085.587,1.314586
1555573085.837,1.312024
1555573086.087,1.314586
1555573086.337,1.314586
1555573086.587,1.310743
1555573086.837,1.309462
1555573087.087,1.312024
1555573087.337,1.326114
1555573087.587,1.309462
1555573087.837,1.310743
1555573088.087,1.310743
1555573088.337,1.309462
1555573088.587,1.309462
1555573088.837,1.310743
1555573089.087,1.310743
1555573089.337,1.312024
1555573089.587,1.313305
1555573089.837,1.312024
1555573090.087,1.309462
1555573090.337,1.310743
1555573090.587,1.312024
1555573090.837,1.312024
1555573091.087,1.309462
1555573091.337,1.313305
1555573091.587,1.310743
1555573091.837,1.308181
1555573092.087,1.304338
1555573092.337,1.3069
1555573092.587,1.308181
1555573092.837,1.303057
1555573093.087,1.304338
1555573093.337,1.304338
1555573093.587,1.303057
1555573093.837,1.301776
1555573094.087,1.304338
1555573094.337,1.304338
1555573094.587,1.300495
1555573094.837,1.300495
1555573095.087,1.299214
1555573095.337,1.300495
1555573095.587,1.297934
1555573095.837,1.299214
1555573096.087,1.299214
1555573096.337,1.296653
1555573096.587,1.294091
1555573096.837,1.296653
1555573097.087,1.296653
1555573097.337,1.294091
1555573097.587,1.295372
1555573097.837,1.296653
1555573098.087,1.29281
1555573098.337,1.291529
1555573098.587,1.294091
1555573098.837,1.291529
1555573099.087,1.288967
1555573099.337,1.29281
1555573099.587,1.290248
1555573099.837,1.291529
1555573100.087,1.287686
1555573100.337,1.288967
1555573100.587,1.287686
1555573100.837,1.286405
1555573101.087,1.288967
1555573101.337,1.286405
1555573101.587,1.288967
1555573101.837,1.283843
1555573102.087,1.282562
1555573102.337,1.282562
1555573102.587,1.281281
1555573102.837,1.283843
1555573103.087,1.282562
1555573103.337,1.282562
1555573103.587,1.28
1555573103.837,1.282562
1555573104.087,1.281281
