TS_Machine,tmp
1555570887.04964,31.97
1555570887.29965,31.97
1555570887.54966,31.97
1555570887.79968,31.97
1555570888.04969,31.97
1555570888.2997,31.97
1555570888.54971,31.97
1555570888.79972,31.97
1555570889.04973,31.99
1555570889.29975,31.99
1555570889.54976,31.99
1555570889.79977,31.99
1555570890.04978,32.01
1555570890.29979,32.01
1555570890.5498,32.01
1555570890.79982,32.01
1555570891.04983,32.01
1555570891.29984,32.01
1555570891.54985,32.01
1555570891.79986,32.01
1555570892.04987,32.03
1555570892.29988,32.03
1555570892.5499,32.03
1555570892.79991,32.03
1555570893.04992,32.01
1555570893.29993,32.01
1555570893.54994,32.01
1555570893.79995,32.01
1555570894.04997,32.03
1555570894.29998,32.03
1555570894.54999,32.03
1555570894.8,32.03
1555570895.05001,32.05
1555570895.30002,32.05
1555570895.55004,32.05
1555570895.80005,32.05
1555570896.05006,32.05
1555570896.30007,32.05
1555570896.55008,32.05
1555570896.80009,32.05
1555570897.0501,32.03
1555570897.30012,32.03
1555570897.55013,32.03
1555570897.80014,32.03
1555570898.05015,32.05
1555570898.30016,32.05
1555570898.55017,32.05
1555570898.80019,32.05
1555570899.0502,32.09
1555570899.30021,32.09
1555570899.55022,32.09
1555570899.80023,32.09
1555570900.05024,32.07
1555570900.30026,32.07
1555570900.55027,32.07
1555570900.80028,32.07
1555570901.05029,32.09
1555570901.3003,32.09
1555570901.55031,32.09
1555570901.80032,32.09
1555570902.05034,32.11
1555570902.30035,32.11
1555570902.55036,32.11
1555570902.80037,32.11
1555570903.05038,32.15
1555570903.30039,32.15
1555570903.55041,32.15
1555570903.80042,32.15
1555570904.05043,32.15
1555570904.30044,32.15
1555570904.55045,32.15
1555570904.80046,32.15
1555570905.05048,32.15
1555570905.30049,32.15
1555570905.5505,32.15
1555570905.80051,32.15
1555570906.05052,32.15
1555570906.30053,32.15
1555570906.55054,32.15
1555570906.80056,32.15
1555570907.05057,32.15
1555570907.30058,32.15
1555570907.55059,32.15
1555570907.8006,32.15
1555570908.05061,32.19
1555570908.30063,32.19
1555570908.55064,32.19
1555570908.80065,32.19
1555570909.05066,32.19
1555570909.30067,32.19
1555570909.55068,32.19
1555570909.80069,32.19
1555570910.05071,32.19
1555570910.30072,32.19
1555570910.55073,32.19
1555570910.80074,32.19
1555570911.05075,32.19
1555570911.30076,32.19
1555570911.55078,32.19
1555570911.80079,32.19
1555570912.0508,32.19
1555570912.30081,32.19
1555570912.55082,32.19
1555570912.80083,32.19
1555570913.05085,32.21
1555570913.30086,32.21
1555570913.55087,32.21
1555570913.80088,32.21
1555570914.05089,32.21
1555570914.3009,32.21
1555570914.55091,32.21
1555570914.80093,32.21
1555570915.05094,32.23
1555570915.30095,32.23
1555570915.55096,32.23
1555570915.80097,32.23
1555570916.05098,32.25
1555570916.301,32.25
1555570916.55101,32.25
1555570916.80102,32.25
1555570917.05103,32.25
1555570917.30104,32.25
1555570917.55105,32.25
1555570917.80107,32.25
1555570918.05108,32.25
1555570918.30109,32.25
1555570918.5511,32.25
1555570918.80111,32.25
1555570919.05112,32.27
1555570919.30113,32.27
1555570919.55115,32.27
1555570919.80116,32.27
1555570920.05117,32.27
1555570920.30118,32.27
1555570920.55119,32.27
1555570920.8012,32.27
1555570921.05122,32.29
1555570921.30123,32.29
1555570921.55124,32.29
1555570921.80125,32.29
1555570922.05126,32.29
1555570922.30127,32.29
1555570922.55129,32.29
1555570922.8013,32.29
1555570923.05131,32.27
1555570923.30132,32.27
1555570923.55133,32.27
1555570923.80134,32.27
1555570924.05135,32.27
