TS_Machine,ibi
1555579674.68589,0.7500348
1555579675.43592,0.7500346
1555579676.17033,0.7344091
1555579676.87349,0.7031577
1555579677.56102,0.6875317
1555579678.23293,0.6719062
1555579678.93608,0.7031574
1555579679.63924,0.7031577
1555579680.3424,0.7031574
1555579681.02993,0.6875319
1555579681.70184,0.671906
1555579682.37374,0.6719062
1555579683.04565,0.6719062
1555579683.73318,0.6875317
1555579684.42071,0.6875319
1555579685.12387,0.7031574
1555579685.82703,0.7031577
1555579686.51456,0.6875317
1555579687.20209,0.6875319
1555579687.88962,0.6875317
1555579688.56153,0.6719062
1555579689.23344,0.6719062
1555579689.90534,0.671906
1555579690.56162,0.6562805
1555579691.23353,0.671906
1555579691.92106,0.6875319
1555579692.59297,0.671906
1555579693.2805,0.6875319
1555579693.96803,0.6875317
1555579694.63994,0.6719062
1555579695.31184,0.671906
1555579695.96812,0.6562805
1555579696.6244,0.6562803
1555579697.29631,0.6719062
1555579697.96821,0.671906
1555579698.6245,0.6562805
1555579699.2964,0.671906
1555579699.95268,0.6562805
1555579700.62459,0.671906
1555579701.29649,0.6719062
1555579701.95277,0.6562803
1555579702.62468,0.6719062
1555579703.29659,0.671906
1555579703.99974,0.7031577
1555579704.67165,0.671906
1555579705.37481,0.7031577
1555579706.07797,0.7031577
1555579706.7655,0.6875317
1555579707.42178,0.6562805
1555579708.10931,0.6875317
1555579708.82809,0.7187833
1555579709.5,0.671906
1555579728.07898,0.6562803
1555579728.73526,0.6562805
1555579729.4228,0.6875317
1555579738.42321,0.7656605
1555579739.22012,0.7969117
1555579740.01704,0.796912
1555579740.81395,0.796912
1555579748.17367,0.7187833
1555579748.89245,0.7187831
1555579749.61123,0.7187833
1555579750.36127,0.7500348
1555579751.1113,0.7500346
1555579751.83008,0.7187833
1555579752.54887,0.7187833
1555579753.2364,0.6875317
1555579753.90831,0.6719062
1555579754.59584,0.6875317
1555579755.28337,0.6875319
1555579755.95528,0.671906
1555579756.65843,0.7031577
1555579757.37722,0.7187831
1555579758.096,0.7187833
1555579758.76791,0.6719062
1555579769.8778,0.7031577
1555579770.6122,0.7344089
1555579771.31536,0.7031577
1555579772.00289,0.6875317
1555579772.70605,0.7031577
1555579773.39358,0.6875319
1555579774.11237,0.7187831
1555579774.84678,0.7344091
1555579775.59681,0.7500348
1555579776.34684,0.7500346
1555579777.06563,0.7187833
1555579777.78441,0.7187833
1555579778.50319,0.7187831
1555579779.2376,0.7344091
1555579780.00326,0.7656605
1555579780.7533,0.7500346
1555579781.50333,0.7500348
1555579782.25337,0.7500348
1555579783.0034,0.7500346
1555579783.75344,0.7500348
1555579784.5191,0.7656605
1555579785.23788,0.7187831
1555579785.95666,0.7187833
