TS_Machine,ax,ay,az
1555570885.9189,-47,29,-36
1555570885.95016,-47,29,-36
1555570885.98141,-47,28,-36
1555570886.01266,-48,29,-36
1555570886.04391,-47,28,-36
1555570886.07516,-47,29,-36
1555570886.10641,-47,29,-36
1555570886.13766,-47,29,-36
1555570886.16892,-47,29,-35
1555570886.20017,-48,29,-36
1555570886.23142,-47,29,-36
1555570886.26267,-47,29,-36
1555570886.29392,-47,29,-36
1555570886.32517,-47,29,-36
1555570886.35642,-47,28,-36
1555570886.38768,-47,29,-36
1555570886.41893,-47,29,-36
1555570886.45018,-47,29,-36
1555570886.48143,-47,29,-36
1555570886.51268,-47,29,-36
1555570886.54393,-47,29,-35
1555570886.57518,-47,29,-36
1555570886.60644,-47,29,-36
1555570886.63769,-47,28,-36
1555570886.66894,-48,29,-36
1555570886.70019,-47,29,-36
1555570886.73144,-47,28,-36
1555570886.76269,-47,29,-36
1555570886.79395,-47,29,-36
1555570886.8252,-47,29,-36
1555570886.85645,-47,29,-36
1555570886.8877,-47,29,-36
1555570886.91895,-47,28,-36
1555570886.9502,-47,29,-36
1555570886.98145,-47,28,-36
1555570887.01271,-47,29,-36
1555570887.04396,-47,29,-36
1555570887.07521,-46,29,-36
1555570887.10646,-47,29,-36
1555570887.13771,-47,29,-36
1555570887.16896,-47,29,-36
1555570887.20021,-47,29,-36
1555570887.23147,-47,29,-36
1555570887.26272,-47,29,-36
1555570887.29397,-47,29,-36
1555570887.32522,-47,29,-36
1555570887.35647,-47,29,-36
1555570887.38772,-47,29,-36
1555570887.41897,-48,29,-36
1555570887.45023,-47,29,-36
1555570887.48148,-47,29,-36
1555570887.51273,-46,29,-36
1555570887.54398,-47,29,-36
1555570887.57523,-47,28,-36
1555570887.60648,-47,29,-36
1555570887.63773,-47,29,-36
1555570887.66899,-47,29,-36
1555570887.70024,-47,29,-36
1555570887.73149,-46,29,-36
1555570887.76274,-47,29,-36
1555570887.79399,-47,29,-36
1555570887.82524,-47,28,-37
1555570887.85649,-47,28,-36
1555570887.88775,-46,29,-36
1555570887.919,-47,29,-37
1555570887.95025,-47,28,-36
1555570887.9815,-47,28,-36
1555570888.01275,-47,29,-37
1555570888.044,-46,28,-36
1555570888.07525,-47,28,-36
1555570888.10651,-47,28,-36
1555570888.13776,-47,28,-36
1555570888.16901,-47,28,-36
1555570888.20026,-47,28,-36
1555570888.23151,-47,28,-36
1555570888.26276,-47,28,-36
1555570888.29401,-47,28,-36
1555570888.32527,-47,28,-36
1555570888.35652,-47,28,-36
1555570888.38777,-47,28,-36
1555570888.41902,-47,28,-36
1555570888.45027,-47,28,-37
1555570888.48152,-47,28,-36
1555570888.51277,-47,29,-36
1555570888.54403,-47,28,-37
1555570888.57528,-47,28,-36
1555570888.60653,-47,28,-36
1555570888.63778,-47,28,-36
1555570888.66903,-47,28,-36
1555570888.70028,-47,28,-37
1555570888.73153,-47,29,-37
1555570888.76279,-47,28,-36
1555570888.79404,-47,28,-36
1555570888.82529,-47,28,-36
1555570888.85654,-47,28,-36
1555570888.88779,-47,28,-36
1555570888.91904,-47,29,-37
1555570888.95029,-47,28,-37
1555570888.98155,-47,28,-37
1555570889.0128,-47,28,-36
