TS_Machine,tmp
1555573074.94703,31.87
1555573075.19704,31.87
1555573075.44705,31.87
1555573075.69707,31.87
1555573075.94708,31.89
1555573076.19709,31.89
1555573076.4471,31.89
1555573076.69711,31.89
1555573076.94712,31.91
1555573077.19713,31.91
1555573077.44715,31.91
1555573077.69716,31.91
1555573077.94717,31.89
1555573078.19718,31.89
1555573078.44719,31.89
1555573078.6972,31.89
1555573078.94722,31.93
1555573079.19723,31.93
1555573079.44724,31.93
1555573079.69725,31.93
1555573079.94726,31.89
1555573080.19727,31.89
1555573080.44728,31.89
1555573080.6973,31.89
1555573080.94731,31.87
1555573081.19732,31.87
1555573081.44733,31.87
1555573081.69734,31.87
1555573081.94735,31.87
1555573082.19737,31.87
1555573082.44738,31.87
1555573082.69739,31.87
1555573082.9474,31.89
1555573083.19741,31.89
1555573083.44742,31.89
1555573083.69744,31.89
1555573083.94745,31.89
1555573084.19746,31.89
1555573084.44747,31.89
1555573084.69748,31.89
1555573084.94749,31.89
1555573085.19751,31.89
1555573085.44752,31.89
1555573085.69753,31.89
1555573085.94754,31.89
1555573086.19755,31.89
1555573086.44756,31.89
1555573086.69757,31.89
1555573086.94759,31.87
1555573087.1976,31.87
1555573087.44761,31.87
1555573087.69762,31.87
1555573087.94763,31.87
1555573088.19764,31.87
1555573088.44766,31.87
1555573088.69767,31.87
1555573088.94768,31.89
1555573089.19769,31.89
1555573089.4477,31.89
1555573089.69771,31.89
1555573089.94772,31.89
1555573090.19774,31.89
1555573090.44775,31.89
1555573090.69776,31.89
1555573090.94777,31.87
1555573091.19778,31.87
1555573091.44779,31.87
1555573091.69781,31.87
1555573091.94782,31.87
1555573092.19783,31.87
1555573092.44784,31.87
1555573092.69785,31.87
1555573092.94786,31.83
1555573093.19788,31.83
1555573093.44789,31.83
1555573093.6979,31.83
1555573093.94791,31.85
1555573094.19792,31.85
1555573094.44793,31.85
1555573094.69794,31.85
1555573094.94796,31.87
1555573095.19797,31.87
1555573095.44798,31.87
1555573095.69799,31.87
1555573095.948,31.85
1555573096.19801,31.85
1555573096.44803,31.85
1555573096.69804,31.85
1555573096.94805,31.87
1555573097.19806,31.87
1555573097.44807,31.87
1555573097.69808,31.87
1555573097.9481,31.87
1555573098.19811,31.87
1555573098.44812,31.87
1555573098.69813,31.87
1555573098.94814,31.85
1555573099.19815,31.85
1555573099.44816,31.85
1555573099.69818,31.85
1555573099.94819,31.85
1555573100.1982,31.85
1555573100.44821,31.85
1555573100.69822,31.85
1555573100.94823,31.85
1555573101.19825,31.85
1555573101.44826,31.85
1555573101.69827,31.85
1555573101.94828,31.87
1555573102.19829,31.87
1555573102.4483,31.87
1555573102.69832,31.87
1555573102.94833,31.85
1555573103.19834,31.85
1555573103.44835,31.85
1555573103.69836,31.85
1555573103.94837,31.85
1555573104.19838,31.85
1555573104.4484,31.85
1555573104.69841,31.85
1555573104.94842,31.85
1555573105.19843,31.85
1555573105.44844,31.85
1555573105.69845,31.85
1555573105.94847,31.83
1555573106.19848,31.83
1555573106.44849,31.83
1555573106.6985,31.83
1555573106.94851,31.85
1555573107.19852,31.85
1555573107.44853,31.85
1555573107.69855,31.85
1555573107.94856,31.85
1555573108.19857,31.85
1555573108.44858,31.85
1555573108.69859,31.85
1555573108.9486,31.85
1555573109.19862,31.85
1555573109.44863,31.85
1555573109.69864,31.85
1555573109.94865,31.85
1555573110.19866,31.85
1555573110.44867,31.85
1555573110.69869,31.85
1555573110.9487,31.85
1555573111.19871,31.85
1555573111.44872,31.85
1555573111.69873,31.85
1555573111.94874,31.85
1555573112.19876,31.85
1555573112.44877,31.85
1555573112.69878,31.85
1555573112.94879,31.85
1555573113.1988,31.85
1555573113.44881,31.85
1555573113.69882,31.85
1555573113.94884,31.83
1555573114.19885,31.83
1555573114.44886,31.83
1555573114.69887,31.83
1555573114.94888,31.83
1555573115.19889,31.83
1555573115.44891,31.83
1555573115.69892,31.83
1555573115.94893,31.85
1555573116.19894,31.85
1555573116.44895,31.85
1555573116.69896,31.85
1555573116.94897,31.85
1555573117.19899,31.85
1555573117.449,31.85
1555573117.69901,31.85
1555573117.94902,31.85
1555573118.19903,31.85
1555573118.44904,31.85
1555573118.69906,31.85
1555573118.94907,31.81
1555573119.19908,31.81
1555573119.44909,31.81
1555573119.6991,31.81
1555573119.94911,31.83
1555573120.19913,31.83
1555573120.44914,31.83
1555573120.69915,31.83
1555573120.94916,31.83
1555573121.19917,31.83
1555573121.44918,31.83
1555573121.69919,31.83
1555573121.94921,31.83
1555573122.19922,31.83
1555573122.44923,31.83
1555573122.69924,31.83
1555573122.94925,31.83
1555573123.19926,31.83
1555573123.44928,31.83
1555573123.69929,31.83
1555573123.9493,31.85
1555573124.19931,31.85
1555573124.44932,31.85
1555573124.69933,31.85
1555573124.94935,31.83
1555573125.19936,31.83
1555573125.44937,31.83
1555573125.69938,31.83
1555573125.94939,31.85
1555573126.1994,31.85
1555573126.44941,31.85
1555573126.69943,31.85
1555573126.94944,31.87
1555573127.19945,31.87
1555573127.44946,31.87
1555573127.69947,31.87
1555573127.94948,31.81
1555573128.1995,31.81
1555573128.44951,31.81
1555573128.69952,31.81
1555573128.94953,31.83
1555573129.19954,31.83
1555573129.44955,31.83
1555573129.69957,31.83
1555573129.94958,31.83
1555573130.19959,31.83
1555573130.4496,31.83
1555573130.69961,31.83
1555573130.94962,31.83
1555573131.19963,31.83
1555573131.44965,31.83
1555573131.69966,31.83
1555573131.94967,31.83
1555573132.19968,31.83
1555573132.44969,31.83
1555573132.6997,31.83
1555573132.94972,31.83
1555573133.19973,31.83
1555573133.44974,31.83
1555573133.69975,31.83
1555573133.94976,31.81
1555573134.19977,31.81
1555573134.44979,31.81
1555573134.6998,31.81
1555573134.94981,31.83
1555573135.19982,31.83
1555573135.44983,31.83
1555573135.69984,31.83
1555573135.94985,31.81
1555573136.19987,31.81
1555573136.44988,31.81
1555573136.69989,31.81
1555573136.9499,31.81
1555573137.19991,31.81
1555573137.44992,31.81
1555573137.69994,31.81
1555573137.94995,31.81
1555573138.19996,31.81
1555573138.44997,31.81
1555573138.69998,31.81
1555573138.94999,31.83
1555573139.20001,31.83
1555573139.45002,31.83
1555573139.70003,31.83
1555573139.95004,31.79
1555573140.20005,31.79
1555573140.45006,31.79
1555573140.70007,31.79
1555573140.95009,31.81
1555573141.2001,31.81
1555573141.45011,31.81
1555573141.70012,31.81
1555573141.95013,31.81
1555573142.20014,31.81
1555573142.45016,31.81
1555573142.70017,31.81
1555573142.95018,31.81
1555573143.20019,31.81
1555573143.4502,31.81
1555573143.70021,31.81
1555573143.95022,31.79
1555573144.20024,31.79
1555573144.45025,31.79
1555573144.70026,31.79
1555573144.95027,31.79
1555573145.20028,31.79
1555573145.45029,31.79
1555573145.70031,31.79
1555573145.95032,31.81
1555573146.20033,31.81
1555573146.45034,31.81
1555573146.70035,31.81
1555573146.95036,31.79
1555573147.20038,31.79
1555573147.45039,31.79
1555573147.7004,31.79
1555573147.95041,31.79
1555573148.20042,31.79
1555573148.45043,31.79
1555573148.70044,31.79
1555573148.95046,31.79
1555573149.20047,31.79
1555573149.45048,31.79
1555573149.70049,31.79
1555573149.9505,31.77
1555573150.20051,31.77
1555573150.45053,31.77
1555573150.70054,31.77
1555573150.95055,31.79
1555573151.20056,31.79
1555573151.45057,31.79
1555573151.70058,31.79
1555573151.9506,31.79
1555573152.20061,31.79
1555573152.45062,31.79
1555573152.70063,31.79
1555573152.95064,31.79
1555573153.20065,31.79
1555573153.45066,31.79
1555573153.70068,31.79
1555573153.95069,31.77
1555573154.2007,31.77
1555573154.45071,31.77
1555573154.70072,31.77
1555573154.95073,31.79
1555573155.20075,31.79
1555573155.45076,31.79
1555573155.70077,31.79
1555573155.95078,31.79
1555573156.20079,31.79
1555573156.4508,31.79
1555573156.70082,31.79
1555573156.95083,31.77
1555573157.20084,31.77
1555573157.45085,31.77
1555573157.70086,31.77
1555573157.95087,31.79
1555573158.20088,31.79
1555573158.4509,31.79
1555573158.70091,31.79
1555573158.95092,31.77
1555573159.20093,31.77
1555573159.45094,31.77
1555573159.70095,31.77
1555573159.95097,31.79
1555573160.20098,31.79
1555573160.45099,31.79
1555573160.701,31.79
1555573160.95101,31.77
1555573161.20102,31.77
1555573161.45104,31.77
1555573161.70105,31.77
1555573161.95106,31.77
1555573162.20107,31.77
1555573162.45108,31.77
1555573162.70109,31.77
1555573162.9511,31.77
1555573163.20112,31.77
1555573163.45113,31.77
1555573163.70114,31.77
1555573163.95115,31.77
1555573164.20116,31.77
1555573164.45117,31.77
1555573164.70119,31.77
1555573164.9512,31.77
1555573165.20121,31.77
1555573165.45122,31.77
1555573165.70123,31.77
1555573165.95124,31.77
1555573166.20126,31.77
1555573166.45127,31.77
1555573166.70128,31.77
1555573166.95129,31.77
1555573167.2013,31.77
1555573167.45131,31.77
1555573167.70132,31.77
1555573167.95134,31.77
1555573168.20135,31.77
1555573168.45136,31.77
1555573168.70137,31.77
1555573168.95138,31.77
1555573169.20139,31.77
1555573169.45141,31.77
1555573169.70142,31.77
1555573169.95143,31.77
1555573170.20144,31.77
1555573170.45145,31.77
1555573170.70146,31.77
1555573170.95148,31.77
1555573171.20149,31.77
1555573171.4515,31.77
1555573171.70151,31.77
1555573171.95152,31.77
1555573172.20153,31.77
1555573172.45154,31.77
1555573172.70156,31.77
1555573172.95157,31.79
1555573173.20158,31.79
1555573173.45159,31.79
1555573173.7016,31.79
1555573173.95161,31.79
1555573174.20163,31.79
1555573174.45164,31.79
1555573174.70165,31.79
1555573174.95166,31.77
1555573175.20167,31.77
1555573175.45168,31.77
1555573175.70169,31.77
1555573175.95171,31.77
1555573176.20172,31.77
1555573176.45173,31.77
1555573176.70174,31.77
1555573176.95175,31.77
1555573177.20176,31.77
1555573177.45178,31.77
1555573177.70179,31.77
1555573177.9518,31.75
1555573178.20181,31.75
1555573178.45182,31.75
1555573178.70183,31.75
1555573178.95185,31.75
1555573179.20186,31.75
1555573179.45187,31.75
1555573179.70188,31.75
1555573179.95189,31.77
1555573180.2019,31.77
1555573180.45191,31.77
1555573180.70193,31.77
1555573180.95194,31.77
1555573181.20195,31.77
1555573181.45196,31.77
1555573181.70197,31.77
1555573181.95198,31.77
1555573182.202,31.77
1555573182.45201,31.77
1555573182.70202,31.77
1555573182.95203,31.75
1555573183.20204,31.75
1555573183.45205,31.75
1555573183.70207,31.75
1555573183.95208,31.75
1555573184.20209,31.75
1555573184.4521,31.75
1555573184.70211,31.75
1555573184.95212,31.75
1555573185.20213,31.75
1555573185.45215,31.75
1555573185.70216,31.75
1555573185.95217,31.77
1555573186.20218,31.77
1555573186.45219,31.77
1555573186.7022,31.77
1555573186.95222,31.75
1555573187.20223,31.75
1555573187.45224,31.75
1555573187.70225,31.75
1555573187.95226,31.75
1555573188.20227,31.75
1555573188.45229,31.75
1555573188.7023,31.75
